submission_id,submission_date,gender,age,geography,financial_situation,education,employment_status,submission_state,are_there_children_0_to_2_yrs_out_of_educational_system,were_children_3_to_17_yrs_enrolled_and_did_not_return_to_school,are_there_children_who_stopped_enrolling_in_primary_education,are_there_children_who_stopped_enrolling_in_secondary_education,are_children_attending_face_to_face_classes,can_children_observe_deterioration_of_basic_services_of_school,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_teachers_at_scheduled_class_hours,are_children_3_to_17_yrs_dealing_with_irregular_school_activity,are_children_being_teached_by_unqualified_people,did_teachers_leave_the_educational_system,do_school_and_the_teachers_have_internet_connection,do_children_have_internet_connection,do_children_3_to_17_yrs_miss_virtual_class_due_to_lack_of_electricity,does_home_shows_severe_deficit_of_electricity,does_home_shows_severe_deficit_of_internet,do_children_3_to_17_yrs_miss_class_or_in_lower_grade,are_children_promoted_with_a_modality_different_from_formal_evaluation
5.64746E+15,2021/4/26,Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Some university or college,"I work part-time, either as an employee or self-employed",Miranda,0,1,0,0,1,1,No,Irregularly,0,1,0,1,1,0,1,1,0,1
5.81861E+15,2021/3/14,Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Miranda,1,0,0,0,0,0,No,Irregularly,1,0,1,0,0,0,0,1,0,0
6.23224E+15,2021/3/13,Male,36 to 45 years old,Rural,"I can afford food, but nothing else",University or college degree completed,I am a student and I work part-time,Miranda,0,1,0,0,0,1,No,Irregularly,0,0,1,0,0,1,0,1,0,0
6.44017E+15,2021/3/29,Male,26 to 35 years old,Suburban/Peri-urban,I cannot afford enough food for my family,University or college degree completed,I am unemployed,Miranda,0,1,0,0,0,1,No,Irregularly,1,0,1,0,1,1,0,0,0,0
5.8194E+15,2021/3/15,Female,36 to 45 years old,Suburban/Peri-urban,"I can afford food, regular expenses, and clothes, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Miranda,1,0,0,1,0,1,No,Irregularly,1,0,1,0,1,1,1,1,0,1
5.12752E+15,2021/3/24,Female,26 to 35 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Some secondary school / high school,"I do housework, fulfilling domestic tasks, looking after children",Miranda,0,1,0,0,0,1,No,Irregularly,0,0,0,0,0,1,0,1,0,0
4.57053E+15,2021/3/17,Female,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,I am unemployed,Miranda,0,1,1,0,0,1,Every day,Irregularly,0,0,0,1,1,0,0,0,0,0
5.85689E+15,2021/3/15,Female,36 to 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Miranda,0,0,1,1,0,0,2 days,Irregularly,0,1,1,1,0,0,0,0,0,1
6.35435E+15,2021/3/23,Female,Over 45 years old,Rural,I cannot afford enough food for my family,University or college degree completed,I am retired,Miranda,0,0,0,0,0,1,No,Irregularly,0,1,1,1,0,1,0,0,0,1
5.31802E+15,2021/3/22,Female,26 to 35 years old,Rural,"I can afford food, but nothing else",Some university or college,"I do housework, fulfilling domestic tasks, looking after children",Sucre,1,1,0,0,0,1,No,Irregularly,0,0,0,0,0,1,1,1,0,1
6.70493E+15,2021/4/2,Female,Under 18,City center or metropolitan area,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Distrito Federal,0,0,0,0,0,1,No,Irregularly,1,1,1,1,1,1,0,1,0,0
6.26457E+15,2021/3/16,Male,18 to 25 years old,Rural,"I can afford food, but nothing else",Primary school completed,I am a student,Distrito Federal,0,1,1,0,0,1,No,Irregularly,1,0,0,1,1,0,0,1,1,0
6.10951E+15,2021/3/14,Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,I am unemployed,Distrito Federal,0,0,0,0,0,1,No,Irregularly,1,0,1,0,0,0,0,0,1,0
6.52789E+15,2021/4/4,Male,36 to 45 years old,City center or metropolitan area,I cannot afford enough food for my family,University or college degree completed,I am unemployed,Distrito Federal,0,1,0,0,0,1,No,Irregularly,0,0,0,0,0,0,0,1,0,1
5.34844E+15,2021/3/15,Female,26 to 35 years old,Rural,"I can afford food, but nothing else",University or college degree completed,I am unemployed,Táchira,1,1,0,0,0,1,1 day,Irregularly,1,0,1,1,0,1,1,1,0,0
5.04569E+15,2021/3/17,Female,36 to 45 years old,Rural,"I can afford food, but nothing else",Some technical education (e.g polytechnic school),I am retired,Táchira,0,0,0,0,0,1,No,Irregularly,1,0,0,0,1,1,1,1,1,0
4.54529E+15,2021/3/19,Male,36 to 45 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,"I do housework, fulfilling domestic tasks, looking after children",Táchira,0,1,0,0,0,1,No,Irregularly,0,0,0,1,1,1,1,1,1,0
4.82887E+15,2021/3/15,Male,26 to 35 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Táchira,0,0,0,0,0,1,No,Irregularly,0,0,0,0,1,1,1,0,0,0
4.92633E+15,2021/9/27,Female,18 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Táchira,0,0,0,0,0,1,No,Irregularly,1,0,1,0,1,1,0,0,0,0
5.24115E+15,2021/3/18,Male,36 to 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,University or college degree completed,I am unemployed,Táchira,0,0,0,0,0,0,No,Irregularly,1,0,0,0,0,0,0,0,0,0
5.83866E+15,2021/3/13,Male,26 to 35 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Táchira,1,1,0,0,0,0,No,Irregularly,1,0,1,1,1,1,1,1,0,1
5.87368E+15,2021/3/13,Female,Over 45 years old,Rural,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Mérida,0,1,0,0,0,0,No,Irregularly,1,0,1,0,1,1,0,0,0,0
6.72821E+15,2021/3/21,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student and I work part-time,Mérida,0,1,0,0,0,1,No,Irregularly,1,0,0,0,1,1,0,0,0,1
6.02499E+15,2021/3/15,Male,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Some university or college,I am a student and I work part-time,Mérida,1,1,0,0,0,1,No,Irregularly,1,1,1,0,1,1,0,1,0,0
5.27715E+15,2021/3/29,Female,36 to 45 years old,Rural,"I can afford food, but nothing else",Post-graduate education,"I work part-time, either as an employee or self-employed",Mérida,0,0,0,0,1,1,4 days,Irregularly,0,1,1,0,0,1,1,1,0,1
